"Source","File","Change","Status"
"wuxiaworldsite","WuxiaWorld.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"wuxiaworldsite","WuxiaWorld.kt","Contains SimpleDateFormat - needs manual migration","NeedsAttention"
"wuxiaworldsite","WuxiaWorld.kt","Contains Calendar.getInstance - needs manual migration","NeedsAttention"
"wuxiaworldsiteco","WuxiaWorld.kt","import java.util.Calendar -> // import java.util.Calendar - Use kotlinx.datetime","Replaced"
"wuxiaworldsiteco","WuxiaWorld.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"wuxiaworldsiteco","WuxiaWorld.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"wuxiaworldsiteco","WuxiaWorld.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"wuxiaworldsiteco","WuxiaWorld.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"wuxiaworldsiteco","WuxiaWorld.kt","Contains SimpleDateFormat - needs manual migration","NeedsAttention"
"wuxiaworldsiteco","WuxiaWorld.kt","Contains Calendar.getInstance - needs manual migration","NeedsAttention"
"uptvs","Uptvs.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"chireads","Chireads.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"noveldeglace","NovelDeGlace.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
